Column1,Column2,,,Column3,Column4,Column5,,Column6,Column7,Column8,Column9,,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
19,STRING_GOODS_19,STRING_GOODS_second_19,T_VENEZIA,GOODS_SNACK,600,초코 마카롱,GOODS_GOLD,ITEM_RARE_N,100,4000,4000,3,3,1,43,0,0,5,0,0,icon_item_20019_1.png|icon_item_20019_1.png|icon_item_20019_1.png|icon_item_20019_1.png|icon_item_20019_1.png,shop_item_20019_1.png|shop_item_20019_1.png|shop_item_20019_1.png|shop_item_20019_1.png|shop_item_20019_1.png,item_1015_1_f_1.png|item_1015_1_f_1.png|item_1015_1_f_2.png|item_1015_1_f_2.png,item_1015_2_f_1.png|item_1015_2_f_1.png|item_1015_2_f_1.png|item_1015_2_f_1.png,item_1015_3_f_1.png|item_1015_3_f_1.png|item_1015_3_f_1.png|item_1015_3_f_1.png,item_1015_4_f_1.png|item_1015_4_f_1.png|item_1015_4_f_1.png|item_1015_4_f_1.png,item_1015_5_f_1.png|item_1015_5_f_1.png|item_1015_5_f_1.png|item_1015_5_f_1.png,item_1015_1_b_1.png|item_1015_1_b_1.png|item_1015_1_b_2.png|item_1015_1_b_2.png,item_1015_2_b_1.png|item_1015_2_b_1.png|item_1015_2_b_1.png|item_1015_2_b_1.png,item_1015_3_b_1.png|item_1015_3_b_1.png|item_1015_3_b_1.png|item_1015_3_b_1.png,item_1015_4_b_1.png|item_1015_4_b_1.png|item_1015_4_b_1.png|item_1015_4_b_1.png,item_1015_5_b_1.png|item_1015_5_b_1.png|item_1015_5_b_1.png|item_1015_5_b_1.png
20,STRING_GOODS_20,STRING_GOODS_second_20,T_SEOUL,GOODS_SNACK,600,칙척,GOODS_GOLD,ITEM_RARE_N,100,10000,10000,3,3,1,40,0,0,5,0,0,icon_item_20020_1.png|icon_item_20020_1.png|icon_item_20020_1.png|icon_item_20020_1.png|icon_item_20020_1.png,shop_item_20020_1.png|shop_item_20020_1.png|shop_item_20020_1.png|shop_item_20020_1.png|shop_item_20020_1.png,item_0040_1_f_1.png|item_0040_1_f_2.png|item_0040_1_f_3.png|item_0040_1_f_4.png,item_0040_2_f_1.png|item_0040_2_f_2.png|item_0040_2_f_3.png|item_0040_2_f_4.png,item_0040_3_f_1.png|item_0040_3_f_2.png|item_0040_3_f_3.png|item_0040_3_f_4.png,item_0040_4_f_1.png|item_0040_4_f_1.png|item_0040_4_f_1.png|item_0040_4_f_1.png,item_0040_5_f_1.png|item_0040_5_f_1.png|item_0040_5_f_1.png|item_0040_5_f_1.png,item_0040_1_b_1.png|item_0040_1_b_2.png|item_0040_1_b_3.png|item_0040_1_b_4.png,item_0040_2_b_1.png|item_0040_2_b_2.png|item_0040_2_b_3.png|item_0040_2_b_4.png,item_0040_3_b_1.png|item_0040_3_b_2.png|item_0040_3_b_3.png|item_0040_3_b_4.png,item_0040_4_b_1.png|item_0040_4_b_1.png|item_0040_4_b_1.png|item_0040_4_b_1.png,item_0040_5_b_1.png|item_0040_5_b_1.png|item_0040_5_b_1.png|item_0040_5_b_1.png
21,STRING_GOODS_21,STRING_GOODS_second_21,T_BEIJING,GOODS_SNACK,600,화이트 사탕,GOODS_EXP,ITEM_RARE_N,100,10000,10000,3,3,1,0,20,0,0,5,0,icon_item_20021_1.png|icon_item_20021_1.png|icon_item_20021_1.png|icon_item_20021_1.png|icon_item_20021_1.png,shop_item_20021_1.png|shop_item_20021_1.png|shop_item_20021_1.png|shop_item_20021_1.png|shop_item_20021_1.png,item_0086_1_f_1.png|item_0086_1_f_2.png|item_0086_1_f_3.png|item_0086_1_f_4.png,item_0086_1_f_1.png|item_0086_1_f_2.png|item_0086_1_f_3.png|item_0086_1_f_4.png,item_0086_1_f_1.png|item_0086_1_f_2.png|item_0086_1_f_3.png|item_0086_1_f_4.png,item_0086_1_f_1.png|item_0086_1_f_2.png|item_0086_1_f_3.png|item_0086_1_f_4.png,item_0086_1_f_1.png|item_0086_1_f_2.png|item_0086_1_f_3.png|item_0086_1_f_4.png,item_0086_1_b_1.png|item_0086_1_b_2.png|item_0086_1_b_3.png|item_0086_1_b_4.png,item_0086_1_b_1.png|item_0086_1_b_2.png|item_0086_1_b_3.png|item_0086_1_b_4.png,item_0086_1_b_1.png|item_0086_1_b_2.png|item_0086_1_b_3.png|item_0086_1_b_4.png,item_0086_1_b_1.png|item_0086_1_b_2.png|item_0086_1_b_3.png|item_0086_1_b_4.png,item_0086_1_b_1.png|item_0086_1_b_2.png|item_0086_1_b_3.png|item_0086_1_b_4.png
22,STRING_GOODS_22,,T_NEWYORK,GOODS_SNACK,600,젤리스타,GOODS_GOLD,ITEM_RARE_N,100,10000,10000,3,3,1,51,0,0,5,0,0,icon_item_20022_1.png|icon_item_20022_1.png|icon_item_20022_1.png|icon_item_20022_1.png|icon_item_20022_1.png,shop_item_20022_1.png|shop_item_20022_1.png|shop_item_20022_1.png|shop_item_20022_1.png|shop_item_20022_1.png,item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png,item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png,item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png,item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png,item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png|item_0138_1_f_1.png,item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png,item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png,item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png,item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png,item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png|item_0138_1_b_1.png
23,STRING_GOODS_23,STRING_GOODS_second_23,T_TOKYO,GOODS_SNACK,600,까메오 오즈,GOODS_GOLD,ITEM_RARE_N,100,10000,10000,3,3,1,53,0,0,5,0,0,icon_item_20023_1.png|icon_item_20023_1.png|icon_item_20023_1.png|icon_item_20023_1.png|icon_item_20023_1.png,shop_item_20023_1.png|shop_item_20023_1.png|shop_item_20023_1.png|shop_item_20023_1.png|shop_item_20023_1.png,item_0139_1_f_1.png|item_0139_1_f_2.png|item_0139_1_f_3.png|item_0139_1_f_4.png,item_0139_1_f_1.png|item_0139_1_f_2.png|item_0139_1_f_3.png|item_0139_1_f_4.png,item_0139_1_f_1.png|item_0139_1_f_2.png|item_0139_1_f_3.png|item_0139_1_f_4.png,item_0139_1_f_1.png|item_0139_1_f_2.png|item_0139_1_f_3.png|item_0139_1_f_4.png,item_0139_1_f_1.png|item_0139_1_f_2.png|item_0139_1_f_3.png|item_0139_1_f_4.png,item_0139_1_b_1.png|item_0139_1_b_2.png|item_0139_1_b_3.png|item_0139_1_b_4.png,item_0139_1_b_1.png|item_0139_1_b_2.png|item_0139_1_b_3.png|item_0139_1_b_4.png,item_0139_1_b_1.png|item_0139_1_b_2.png|item_0139_1_b_3.png|item_0139_1_b_4.png,item_0139_1_b_1.png|item_0139_1_b_2.png|item_0139_1_b_3.png|item_0139_1_b_4.png,item_0139_1_b_1.png|item_0139_1_b_2.png|item_0139_1_b_3.png|item_0139_1_b_4.png
24,STRING_GOODS_24,STRING_GOODS_second_24,T_BEIJING,GOODS_SNACK,600,무지개떡,GOODS_GOLD,ITEM_RARE_N,100,10000,10000,3,3,1,52,0,0,5,0,0,icon_item_20024_1.png|icon_item_20024_1.png|icon_item_20024_1.png|icon_item_20024_1.png|icon_item_20024_1.png,shop_item_20024_1.png|shop_item_20024_1.png|shop_item_20024_1.png|shop_item_20024_1.png|shop_item_20024_1.png,item_0154_1_f_1.png|item_0154_1_f_2.png|item_0154_1_f_3.png|item_0154_1_f_4.png,item_0154_1_f_1.png|item_0154_1_f_2.png|item_0154_1_f_3.png|item_0154_1_f_4.png,item_0154_1_f_1.png|item_0154_1_f_2.png|item_0154_1_f_3.png|item_0154_1_f_4.png,item_0154_1_f_1.png|item_0154_1_f_2.png|item_0154_1_f_3.png|item_0154_1_f_4.png,item_0154_1_f_1.png|item_0154_1_f_2.png|item_0154_1_f_3.png|item_0154_1_f_4.png,item_0154_1_b_1.png|item_0154_1_b_2.png|item_0154_1_b_3.png|item_0154_1_b_4.png,item_0154_1_b_1.png|item_0154_1_b_2.png|item_0154_1_b_3.png|item_0154_1_b_4.png,item_0154_1_b_1.png|item_0154_1_b_2.png|item_0154_1_b_3.png|item_0154_1_b_4.png,item_0154_1_b_1.png|item_0154_1_b_2.png|item_0154_1_b_3.png|item_0154_1_b_4.png,item_0154_1_b_1.png|item_0154_1_b_2.png|item_0154_1_b_3.png|item_0154_1_b_4.png
25,STRING_GOODS_25,STRING_GOODS_second_25,T_NEWYORK,GOODS_SNACK,600,피타빵,GOODS_EXP,ITEM_RARE_N,100,10000,10000,3,3,1,0,21,0,0,5,0,icon_item_20025_1.png|icon_item_20025_1.png|icon_item_20025_1.png|icon_item_20025_1.png|icon_item_20025_1.png,shop_item_20025_1.png|shop_item_20025_1.png|shop_item_20025_1.png|shop_item_20025_1.png|shop_item_20025_1.png,item_0177_1_f_1.png|item_0177_1_f_1.png|item_0177_1_f_2.png|item_0177_1_f_2.png,item_0177_2_f_1.png|item_0177_2_f_1.png|item_0177_2_f_2.png|item_0177_2_f_2.png,item_0177_3_f_1.png|item_0177_3_f_1.png|item_0177_3_f_1.png|item_0177_3_f_1.png,item_0177_4_f_1.png|item_0177_4_f_1.png|item_0177_4_f_1.png|item_0177_4_f_1.png,item_0177_5_f_1.png|item_0177_5_f_1.png|item_0177_5_f_1.png|item_0177_5_f_1.png,item_0177_1_b_1.png|item_0177_1_b_1.png|item_0177_1_b_2.png|item_0177_1_b_2.png,item_0177_2_b_1.png|item_0177_2_b_1.png|item_0177_2_b_2.png|item_0177_2_b_2.png,item_0177_3_b_1.png|item_0177_3_b_1.png|item_0177_3_b_1.png|item_0177_3_b_1.png,item_0177_4_b_1.png|item_0177_4_b_1.png|item_0177_4_b_1.png|item_0177_4_b_1.png,item_0177_5_b_1.png|item_0177_5_b_1.png|item_0177_5_b_1.png|item_0177_5_b_1.png
26,STRING_GOODS_26,,T_SEOUL,GOODS_SNACK,600,송편,GOODS_EXP,ITEM_RARE_N,100,10000,10000,3,3,1,0,22,0,0,5,0,icon_item_20026_1.png|icon_item_20026_1.png|icon_item_20026_1.png|icon_item_20026_1.png|icon_item_20026_1.png,shop_item_20026_1.png|shop_item_20026_1.png|shop_item_20026_1.png|shop_item_20026_1.png|shop_item_20026_1.png,item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png,item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png,item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png,item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png,item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png|item_0194_1_f_1.png,item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png,item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png,item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png,item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png,item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png|item_0194_1_b_1.png
27,STRING_GOODS_27,STRING_GOODS_second_27,T_TOKYO,GOODS_SNACK,600,버터맛 쿠키,GOODS_EXP,ITEM_RARE_N,100,10000,10000,3,3,1,0,23,0,0,5,0,icon_item_20027_1.png|icon_item_20027_1.png|icon_item_20027_1.png|icon_item_20027_1.png|icon_item_20027_1.png,shop_item_20027_1.png|shop_item_20027_1.png|shop_item_20027_1.png|shop_item_20027_1.png|shop_item_20027_1.png,item_0199_1_f_1.png|item_0199_1_f_2.png|item_0199_1_f_3.png|item_0199_1_f_4.png,item_0199_2_f_1.png|item_0199_2_f_1.png|item_0199_2_f_2.png|item_0199_2_f_2.png,item_0199_3_f_1.png|item_0199_3_f_1.png|item_0199_3_f_1.png|item_0199_3_f_1.png,item_0199_4_f_1.png|item_0199_4_f_1.png|item_0199_4_f_1.png|item_0199_4_f_1.png,item_0199_5_f_1.png|item_0199_5_f_1.png|item_0199_5_f_1.png|item_0199_5_f_1.png,item_0199_1_b_1.png|item_0199_1_b_2.png|item_0199_1_b_3.png|item_0199_1_b_4.png,item_0199_2_b_1.png|item_0199_2_b_1.png|item_0199_2_b_2.png|item_0199_2_b_2.png,item_0199_3_b_1.png|item_0199_3_b_1.png|item_0199_3_b_1.png|item_0199_3_b_1.png,item_0199_4_b_1.png|item_0199_4_b_1.png|item_0199_4_b_1.png|item_0199_4_b_1.png,item_0199_5_b_1.png|item_0199_5_b_1.png|item_0199_5_b_1.png|item_0199_5_b_1.png
28,STRING_GOODS_28,STRING_GOODS_second_28,T_VENEZIA,GOODS_SNACK,600,고스트 캔디,GOODS_EXP,ITEM_RARE_N,100,10000,10000,3,3,1,0,24,0,0,5,0,icon_item_20028_1.png|icon_item_20028_1.png|icon_item_20028_1.png|icon_item_20028_1.png|icon_item_20028_1.png,shop_item_20028_1.png|shop_item_20028_1.png|shop_item_20028_1.png|shop_item_20028_1.png|shop_item_20028_1.png,item_0322_1_f_1.png|item_0322_1_f_2.png|item_0322_1_f_3.png|item_0322_1_f_4.png,item_0322_2_f_1.png|item_0322_2_f_1.png|item_0322_2_f_1.png|item_0322_2_f_1.png,item_0322_3_f_1.png|item_0322_3_f_1.png|item_0322_3_f_1.png|item_0322_3_f_1.png,item_0322_3_f_1.png|item_0322_3_f_1.png|item_0322_3_f_1.png|item_0322_3_f_1.png,item_0322_3_f_1.png|item_0322_3_f_1.png|item_0322_3_f_1.png|item_0322_3_f_1.png,item_0322_1_b_1.png|item_0322_1_b_2.png|item_0322_1_b_3.png|item_0322_1_b_4.png,item_0322_2_b_1.png|item_0322_2_b_1.png|item_0322_2_b_1.png|item_0322_2_b_1.png,item_0322_3_b_1.png|item_0322_3_b_1.png|item_0322_3_b_1.png|item_0322_3_b_1.png,item_0322_3_b_1.png|item_0322_3_b_1.png|item_0322_3_b_1.png|item_0322_3_b_1.png,item_0322_3_b_1.png|item_0322_3_b_1.png|item_0322_3_b_1.png|item_0322_3_b_1.png
29,STRING_GOODS_29,STRING_GOODS_second_29,T_SEOUL,GOODS_SNACK,600,버터쿠키 세트,GOODS_GOLD,ITEM_RARE_N,100,5000,5000,3,3,1,100,0,0,5,0,0,icon_item_20148_1.png|icon_item_20148_1.png|icon_item_20148_1.png|icon_item_20148_1.png|icon_item_20148_1.png,shop_item_20148_1.png|shop_item_20148_1.png|shop_item_20148_1.png|shop_item_20148_1.png|shop_item_20148_1.png,item_10004_1_f_2.png|item_10004_1_f_1.png|item_10004_1_f_2.png|item_10004_1_f_1.png,item_10004_1_f_2.png|item_10004_1_f_1.png|item_10004_1_f_2.png|item_10004_1_f_1.png,item_10004_1_f_2.png|item_10004_1_f_1.png|item_10004_1_f_2.png|item_10004_1_f_1.png,item_10004_1_f_2.png|item_10004_1_f_1.png|item_10004_1_f_2.png|item_10004_1_f_1.png,item_10004_1_f_2.png|item_10004_1_f_1.png|item_10004_1_f_2.png|item_10004_1_f_1.png,item_10004_1_b_1.png|item_10004_1_b_2.png|item_10004_1_b_1.png|item_10004_1_b_2.png,item_10004_1_b_1.png|item_10004_1_b_2.png|item_10004_1_b_1.png|item_10004_1_b_2.png,item_10004_1_b_1.png|item_10004_1_b_2.png|item_10004_1_b_1.png|item_10004_1_b_2.png,item_10004_1_b_1.png|item_10004_1_b_2.png|item_10004_1_b_1.png|item_10004_1_b_2.png,item_10004_1_b_1.png|item_10004_1_b_2.png|item_10004_1_b_1.png|item_10004_1_b_2.png
10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,STRING_GOODS_1001,,T_SEOUL,GOODS_RAMEN,601,푸라면,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,37,0,0,5,0,0,icon_item_20029_1.png|icon_item_20029_1.png|icon_item_20029_1.png|icon_item_20029_1.png|icon_item_20029_1.png,shop_item_0004_1.png|shop_item_0004_2.png|shop_item_0004_3.png|shop_item_0004_4.png|shop_item_0004_5.png,item_0004_1_f_1.png|item_0004_1_f_2.png|item_0004_1_f_3.png|item_0004_1_f_4.png,item_0004_1_f_1.png|item_0004_1_f_2.png|item_0004_1_f_3.png|item_0004_1_f_4.png,item_0004_1_f_1.png|item_0004_1_f_2.png|item_0004_1_f_3.png|item_0004_1_f_4.png,item_0004_1_f_1.png|item_0004_1_f_2.png|item_0004_1_f_3.png|item_0004_1_f_4.png,item_0004_1_f_1.png|item_0004_1_f_2.png|item_0004_1_f_3.png|item_0004_1_f_4.png,item_0004_1_b_1.png|item_0004_1_b_2.png|item_0004_1_b_3.png|item_0004_1_b_4.png,item_0004_1_b_1.png|item_0004_1_b_2.png|item_0004_1_b_3.png|item_0004_1_b_4.png,item_0004_1_b_1.png|item_0004_1_b_2.png|item_0004_1_b_3.png|item_0004_1_b_4.png,item_0004_1_b_1.png|item_0004_1_b_2.png|item_0004_1_b_3.png|item_0004_1_b_4.png,item_0004_1_b_1.png|item_0004_1_b_2.png|item_0004_1_b_3.png|item_0004_1_b_4.png
1002,STRING_GOODS_1002,STRING_GOODS_second_1002,T_SEOUL,GOODS_RAMEN,601,너굴이 라면,GOODS_EXP,ITEM_RARE_N,100,3000,3000,3,3,1,0,9,0,0,5,0,icon_item_20030_1.png|icon_item_20030_1.png|icon_item_20030_1.png|icon_item_20030_1.png|icon_item_20030_1.png,shop_item_0007_2.png|shop_item_0007_2.png|shop_item_0007_2.png|shop_item_0007_2.png|shop_item_0007_2.png,item_0007_2_f_1.png|item_0007_2_f_1.png|item_0007_2_f_2.png|item_0007_2_f_2.png,item_0007_2_f_1.png|item_0007_2_f_1.png|item_0007_2_f_2.png|item_0007_2_f_2.png,item_0007_2_f_1.png|item_0007_2_f_1.png|item_0007_2_f_2.png|item_0007_2_f_2.png,item_0007_2_f_1.png|item_0007_2_f_1.png|item_0007_2_f_2.png|item_0007_2_f_2.png,item_0007_2_f_1.png|item_0007_2_f_1.png|item_0007_2_f_2.png|item_0007_2_f_2.png,item_0007_2_b_1.png|item_0007_2_b_1.png|item_0007_2_b_2.png|item_0007_2_b_2.png,item_0007_2_b_1.png|item_0007_2_b_1.png|item_0007_2_b_2.png|item_0007_2_b_2.png,item_0007_2_b_1.png|item_0007_2_b_1.png|item_0007_2_b_2.png|item_0007_2_b_2.png,item_0007_2_b_1.png|item_0007_2_b_1.png|item_0007_2_b_2.png|item_0007_2_b_2.png,item_0007_2_b_1.png|item_0007_2_b_1.png|item_0007_2_b_2.png|item_0007_2_b_2.png
1003,STRING_GOODS_1003,STRING_GOODS_second_1003,T_NEWYORK,GOODS_RAMEN,601,컵라면,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,37,0,0,5,0,0,icon_item_20031_1.png|icon_item_20031_1.png|icon_item_20031_1.png|icon_item_20031_1.png|icon_item_20031_1.png,shop_item_0019_1.png|shop_item_0019_1.png|shop_item_0019_1.png|shop_item_0019_1.png|shop_item_0019_1.png,item_0019_1_f_1.png|item_0019_1_f_1.png|item_0019_1_f_2.png|item_0019_1_f_2.png,item_0019_1_f_1.png|item_0019_1_f_1.png|item_0019_1_f_2.png|item_0019_1_f_2.png,item_0019_1_f_1.png|item_0019_1_f_1.png|item_0019_1_f_2.png|item_0019_1_f_2.png,item_0019_1_f_1.png|item_0019_1_f_1.png|item_0019_1_f_2.png|item_0019_1_f_2.png,item_0019_1_f_1.png|item_0019_1_f_1.png|item_0019_1_f_2.png|item_0019_1_f_2.png,item_0019_1_b_1.png|item_0019_1_b_1.png|item_0019_1_b_2.png|item_0019_1_b_2.png,item_0019_1_b_1.png|item_0019_1_b_1.png|item_0019_1_b_2.png|item_0019_1_b_2.png,item_0019_1_b_1.png|item_0019_1_b_1.png|item_0019_1_b_2.png|item_0019_1_b_2.png,item_0019_1_b_1.png|item_0019_1_b_1.png|item_0019_1_b_2.png|item_0019_1_b_2.png,item_0019_1_b_1.png|item_0019_1_b_1.png|item_0019_1_b_2.png|item_0019_1_b_2.png
1004,STRING_GOODS_1004,,T_SEOUL,GOODS_RAMEN,601,짜파게리,GOODS_GOLD,ITEM_RARE_N,100,5000,5000,3,3,1,45,0,0,5,0,0,icon_item_20032_1.png|icon_item_20032_1.png|icon_item_20032_1.png|icon_item_20032_1.png|icon_item_20032_1.png,shop_item_0020_2.png|shop_item_0020_2.png|shop_item_0020_2.png|shop_item_0020_2.png|shop_item_0020_2.png,item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png,item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png,item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png,item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png,item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png|item_0020_2_f_1.png,item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png,item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png,item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png,item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png,item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png|item_0020_2_b_1.png
1005,STRING_GOODS_1005,STRING_GOODS_second_1005,T_NEWYORK,GOODS_RAMEN,601,튀김 라면,GOODS_EXP,ITEM_RARE_N,100,3000,3000,3,3,1,0,9,0,0,5,0,icon_item_20033_1.png|icon_item_20033_1.png|icon_item_20033_1.png|icon_item_20033_1.png|icon_item_20033_1.png,shop_item_0066_1.png|shop_item_0066_1.png|shop_item_0066_1.png|shop_item_0066_1.png|shop_item_0066_1.png,item_0066_1_f_1.png|item_0066_1_f_2.png|item_0066_1_f_3.png|item_0066_1_f_4.png,item_0066_1_f_1.png|item_0066_1_f_2.png|item_0066_1_f_3.png|item_0066_1_f_4.png,item_0066_1_f_1.png|item_0066_1_f_2.png|item_0066_1_f_3.png|item_0066_1_f_4.png,item_0066_1_f_1.png|item_0066_1_f_2.png|item_0066_1_f_3.png|item_0066_1_f_4.png,item_0066_1_f_1.png|item_0066_1_f_2.png|item_0066_1_f_3.png|item_0066_1_f_4.png,item_0066_1_b_1.png|item_0066_1_b_2.png|item_0066_1_b_3.png|item_0066_1_b_4.png,item_0066_1_b_1.png|item_0066_1_b_2.png|item_0066_1_b_3.png|item_0066_1_b_4.png,item_0066_1_b_1.png|item_0066_1_b_2.png|item_0066_1_b_3.png|item_0066_1_b_4.png,item_0066_1_b_1.png|item_0066_1_b_2.png|item_0066_1_b_3.png|item_0066_1_b_4.png,item_0066_1_b_1.png|item_0066_1_b_2.png|item_0066_1_b_3.png|item_0066_1_b_4.png
1006,STRING_GOODS_1006,,T_NEWYORK,GOODS_RAMEN,601,라볶이,GOODS_GOLD,ITEM_RARE_N,100,4000,4000,3,3,1,44,0,0,5,0,0,icon_item_20034_1.png|icon_item_20034_1.png|icon_item_20034_1.png|icon_item_20034_1.png|icon_item_20034_1.png,shop_item_0140_1.png|shop_item_0140_1.png|shop_item_0140_1.png|shop_item_0140_1.png|shop_item_0140_1.png,item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png,item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png,item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png,item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png,item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png|item_0140_1_f_1.png,item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png,item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png,item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png,item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png,item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png|item_0140_1_b_1.png
1007,STRING_GOODS_1007,STRING_GOODS_second_1007,T_SEOUL,GOODS_RAMEN,601,골빔면,GOODS_EXP,ITEM_RARE_N,100,5000,5000,3,3,1,0,16,0,0,5,0,icon_item_20035_1.png|icon_item_20035_1.png|icon_item_20035_1.png|icon_item_20035_1.png|icon_item_20035_1.png,shop_item_0156_1.png|shop_item_0156_1.png|shop_item_0156_1.png|shop_item_0156_1.png|shop_item_0156_1.png,item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png,item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png,item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png,item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png,item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png|item_0156_1_f_1.png,item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png,item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png,item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png,item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png,item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png|item_0156_1_b_1.png
